MA_10099391g0010
MA_10103038g0010
MA_10147276g0010
MA_10197113g0010
MA_10215210g0010
MA_102199g0010
MA_10243946g0010
MA_10257300g0010
MA_10268593g0010
MA_10312128g0010
MA_10320g0010
MA_10425967g0010
MA_10426436g0010
MA_10426732g0010
MA_10426833g0010
MA_10427339g0010
MA_10427648g0010
MA_10428616g0010
MA_10429672g0010
MA_10431238g0010
MA_10432090g0010
MA_10432802g0010
MA_10432902g0010
MA_10433791g0010
MA_10433945g0010
MA_10434112g0010
MA_10434352g0010
MA_10434729g0020
MA_10435501g0010
MA_10436539g0010
MA_10437146g0020
MA_11029g0010
MA_12452g0010
MA_124591g0010
MA_130250g0010
MA_135684g0020
MA_13618g0010
MA_155113g0020
MA_172498g0010
MA_17547g0010
MA_175825g0020
MA_179594g0010
MA_190560g0010
MA_19523g0010
MA_19554g0010
MA_2090332g0010
MA_212712g0010
MA_2153472g0010
MA_216008g0010
MA_225419g0010
MA_2430322g0010
MA_248276g0010
MA_25670g0010
MA_280898g0010
MA_31462g0010
MA_322432g0010
MA_35310g0010
MA_360253g0010
MA_3607820g0010
MA_36123g0010
MA_38494g0010
MA_40639g0010
MA_41286g0010
MA_41286g0020
MA_42938g0010
MA_45527g0010
MA_47071g0010
MA_479054g0010
MA_498957g0010
MA_499305g0010
MA_5364765g0010
MA_54260g0010
MA_561902g0010
MA_66772g0020
MA_70708g0010
MA_7119239g0010
MA_7256174g0010
MA_7283265g0010
MA_75192g0010
MA_81046g0010
MA_844983g0010
MA_8756989g0010
MA_88195g0010
MA_901965g0010
MA_906876g0010
MA_925355g0010
MA_9554510g0010
MA_9831998g0010
MA_9839901g0010
MA_9903145g0010
MA_10040248g0010
MA_10051g0010
MA_10061796g0010
MA_100998g0010
MA_10135677g0010
MA_10146282g0010
MA_101469g0010
MA_101469g0020
MA_10158313g0010
MA_10175544g0010
MA_101764g0010
MA_10186026g0010
MA_10194606g0010
MA_10199247g0010
MA_102057g0010
MA_10211613g0010
MA_10229741g0010
MA_10238024g0010
MA_10250686g0010
MA_10258501g0010
MA_10262473g0010
MA_10263885g0010
MA_10265740g0010
MA_10274g0010
MA_10313114g0010
MA_10316458g0010
MA_10325684g0020
MA_103386g0010
MA_10343755g0010
MA_10372207g0010
MA_10377619g0010
MA_10394370g0010
MA_10395034g0010
MA_10425953g0010
MA_10426026g0010
MA_10426056g0010
MA_10426389g0010
MA_10426389g0020
MA_10427096g0010
MA_10427109g0010
MA_10427381g0010
MA_10427386g0010
MA_10427398g0010
MA_10427506g0010
MA_10428505g0020
MA_10428528g0010
MA_10428670g0010
MA_10428815g0010
MA_10428957g0010
MA_10429454g0010
MA_10429698g0010
MA_10429716g0010
MA_10429744g0010
MA_10429843g0020
MA_10429938g0040
MA_10429961g0010
MA_10429973g0020
MA_10430052g0010
MA_10430052g0020
MA_10430173g0010
MA_10430220g0010
MA_10430221g0010
MA_10430223g0010
MA_10430268g0010
MA_10430419g0020
MA_10430613g0010
